,foodId,label,category,foodContentsLabel,image
0,food_a656mk2a5dmqb2adiamu6beihduu,Champagne,Generic foods,,https://www.edamam.com/food-img/a71/a718cf3c52add522128929f1f324d2ab.jpg
1,food_b8d1c2rbdpdok6bjpwmtlbsa5hs4,"Champagne Vinaigrette, Champagne",Packaged foods,OLIVE OIL; BALSAMIC VINEGAR; CHAMPAGNE VINEGAR; GARLIC; DIJON MUSTARD; SEA SALT.,
2,food_axmullnbxsm8f5aug13l2aqoyu6j,"Champagne Vinaigrette, Champagne",Packaged foods,INGREDIENTS: WATER; CANOLA OIL; CHAMPAGNE VINEGAR; SUGAR; OLIVE OIL; SALT; DRIED GARLIC; DRED SHALLOTS; BLACK PEPPER; XANTHAN GUM; SPICE,https://www.edamam.com/food-img/d88/d88b64d97349ed062368972113124e35.jpg
3,food_a7j75b0bk4sd87a34ed3tats8n31,"Champagne Dressing, Champagne",Packaged foods,OLIVE OIL; BALSAMIC VINEGAR; CHAMPAGNE VINEGAR; GARLIC; DIJON MUSTARD; SEA SALT,
4,food_b2xjyr5beqff2mbwycgjza8o1hxk,"Champagne Vinaigrette, Champagne",Packaged foods,CANOLA AND SOYBEAN OIL; WHITE WINE (CONTAINS SULFITES); WATER; VINEGARS (CHAMPAGNE AND WHITE WINE); SUGAR; SALT; MUSTARD SEED; MONOSODIUM GLUTAMATE; GARLIC*; ONION*; SPICE; XANTHAN GUM; MOLASSES; CALCIUM DISODIUM EDTA ADDED TO PROTECT FLAVOR; CHIVES*; TAMARIND; NATURAL FLAVOR.,
5,food_a2z6lg7a3qtqbbbsw4yxgbx8ql4q,"Champagne Dressing, Champagne",Packaged foods,SOYBEAN OIL; WHITE WINE (PRESERVED WITH SULFITES); WATER; WHITE WINE VINEGAR; SUGAR; SALT; SPICES (INCLUDING MUSTARD SEED); MONOSODIUM GLUTAMATE; GARLIC*; ONION*; XANTHAN GUM; MOLASSES; CALCIUM DISODIUM EDTA ADDED TO PROTECT FLAVOR; VINEGAR; CORN SYRUP; CARAMEL COLOR; CHIVES*; NATURAL FLAVOR; TAMARIND.,https://www.edamam.com/food-img/ab2/ab2459fc2a98cd35f68b848be2337ecb.jpg
6,food_a7d4hjabk0x5sqby8om6gbf5c4tr,"Champagne Truffles, Champagne",Packaged foods,NON-GMO MILK CHOCOLATE (CANE SUGAR; FULL CREAM MILK; COCOA BUTTER; CACAO BEANS; SUNFLOWER LECITHIN; VANILLA BEANS); CREAM (MILK); NON-GMO SEMISWEET CHOCOLATE (UNSWEETENED CHOCOLATE; SUGAR; COCOA BUTTER; MILK FAT [BUTTER]; SUNFLOWER LECITHIN [EMULSIFIER]; VANILLA); INVERT SYRUP; CANE SUGAR; BUTTER (MILK; SALT); NATURAL PROCESS COCOA; GRAIN ALCOHOL; NATURAL FLAVOR; NATURAL VANILLA; ANISETTE LIQUEUR; CREAM OF TARTAR,
7,food_alpl44taoyv11ra0lic1qa8xculi,Champagne Buttercream,Generic meals,sugar; butter; shortening; vanilla; champagne; milk,
8,food_agum7rba8gepbgajiid4zbgmcwad,"Champagne Punch Concentrate, Champagne",Packaged foods,HIGH FRUCTOSE CORN SYRUP; WATER; LESS THAN 2%: PINEAPPLE JUICE CONCENTRATE; ORANGE JUICE CONCENTRATE; GRAPEFRUIT JUICE CONCENTRATE; CITRIC ACID; ESTER GUM; PROPYLENE GLYCOL; TRAGACANTH GUM; XANTHAN GUM; ORANGE OIL; SODIUM CARBOXYMETHYLCELLULOSE; NATURAL FLAVORS; CARAMEL COLOR; SODIUM BENZOATE AND POTASSIUM SORBATE (PRESERVATIVES); RED 40; YELLOW 5; YELLOW 6.,
9,food_arebcyiaufsqpnax8zj38bipaerf,"Champagne Cotton Candy, Champagne",Packaged foods,SUGAR; ARTIFICIAL & NATURAL FLAVOR.,
