SK_ID_CURR,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT_x,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_2,EXT_SOURCE_3,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR,AMT_CREDIT_SUM_mean,AMT_CREDIT_SUM_sum,AMT_CREDIT_SUM_OVERDUE_mean,AMT_CREDIT_SUM_OVERDUE_sum,AMT_CREDIT_SUM_DEBT_mean,AMT_CREDIT_SUM_DEBT_sum,CREDIT_ACTIVE_count_active,CREDIT_DAY_OVERDUE_max,DAYS_CREDIT_mean,DAYS_CREDIT_min,DAYS_CREDIT_max,CREDIT_TYPE_nunique,SK_ID_PREV_x,NAME_CONTRACT_STATUS,AMT_APPLICATION,AMT_CREDIT_y,INST_CNT,INST_PAY_DIFF_MEAN,INST_PAY_DIFF_MIN,INST_PAY_DIFF_MAX,INST_DELAY_MEAN,INST_DELAY_MAX,INST_TOTAL_PAID,INST_TOTAL_DUE,SK_ID_PREV_y,SK_DPD_x
100001,Cash loans,F,N,Y,0,135000.0,568800.0,20560.5,450000.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.01885,-19241,-2329.0,-5170.0,-812,1,1,0,1,0,1,2.0,2,2,TUESDAY,18,0,0,0,0,0,0,Kindergarten,0.7896544,0.15951954,0.0,0.0,0.0,0.0,-1740.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,207623.57142857142,1453365.0,0.0,0.0,85240.92857142857,596686.5,3.0,0.0,-735.0,-1572.0,-49.0,1.0,1.0,1.0,24835.5,23787.0,7.0,0.0,0.0,0.0,-7.285714,11.0,41195.925,41195.925,2.0,7.0
100005,Cash loans,M,N,Y,0,99000.0,222768.0,17370.0,180000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.035792,-18064,-4469.0,-9118.0,-1623,1,1,0,1,0,0,2.0,2,2,FRIDAY,9,0,0,0,0,0,0,Self-employed,0.29165554,0.43296167,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,219042.0,657126.0,0.0,0.0,189469.5,568408.5,2.0,0.0,-190.66666666666666,-373.0,-62.0,2.0,2.0,1.0,22308.75,20076.75,9.0,0.0,0.0,0.0,-23.555555,1.0,56161.845,56161.845,1.0,0.0
100013,Cash loans,M,Y,Y,0,202500.0,663264.0,69777.0,630000.0,,Working,Higher education,Married,House / apartment,0.019101,-20038,-4458.0,-2175.0,-3503,1,1,0,1,0,0,2.0,2,2,MONDAY,14,0,0,0,0,0,0,Transport: type 3,0.69978684,0.6109913,0.0,0.0,0.0,0.0,-856.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,4.0,518070.015,2072280.06,0.0,0.0,0.0,0.0,0.0,0.0,-1737.5,-2070.0,-1210.0,2.0,4.0,3.0,130871.25,146134.125,155.0,-1157.6627419354838,-23147.82,0.0,-5.180645,21.0,1509736.545,1689174.27,3.0,18.0
100028,Cash loans,F,N,Y,2,315000.0,1575000.0,49018.5,1575000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.026392,-13976,-1866.0,-2000.0,-4208,1,1,0,1,1,0,4.0,2,2,WEDNESDAY,11,0,0,0,0,0,0,Business Entity Type 3,0.50967705,0.6127042,0.0,0.0,0.0,0.0,-1805.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,126739.59000000001,1520875.08,0.0,0.0,18630.45,186304.5,5.0,0.0,-1401.75,-2105.0,-269.0,2.0,5.0,3.0,49207.5,92920.5,113.0,-622.5507079646018,-8505.0,0.0,-3.0,7.0,492310.66500000004,562658.895,2.0,0.0
100038,Cash loans,M,Y,N,1,180000.0,625500.0,32067.0,625500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.010032,-13040,-2191.0,-4000.0,-4262,1,1,1,1,0,0,3.0,2,2,FRIDAY,5,0,0,0,0,1,1,Business Entity Type 3,0.42568728,,0.0,0.0,0.0,0.0,-821.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,2.0,1.0,267727.5,300550.5,12.0,0.0,0.0,0.0,-12.25,-9.0,133204.05000000002,133204.05000000002,1.0,0.0
100042,Cash loans,F,Y,Y,0,270000.0,959688.0,34600.5,810000.0,Unaccompanied,State servant,Secondary / secondary special,Married,House / apartment,0.025164,-18604,-12009.0,-6116.0,-2027,1,1,0,1,1,0,2.0,2,2,MONDAY,15,0,0,0,0,0,0,Government,0.62890434,0.39277387,0.0,0.0,0.0,0.0,-1705.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,2.0,681475.5,9540657.0,0.0,0.0,256180.24125,3074162.895,8.0,0.0,-1325.5,-2723.0,-234.0,2.0,9.0,9.0,415884.0,458168.0,182.0,-263.37461538461537,-32670.9,0.0,-6.1153846,17.0,3977938.215,4025872.395,6.0,0.0
100057,Cash loans,M,Y,Y,2,180000.0,499221.0,22117.5,373500.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.0228,-16685,-2580.0,-10125.0,-241,1,1,0,1,0,0,4.0,2,2,THURSDAY,9,0,0,0,0,1,1,Industry: type 9,0.5710842,0.6512602,1.0,0.0,1.0,0.0,-1182.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,369032.5125,2952260.1,0.0,0.0,0.0,0.0,1.0,0.0,-1377.375,-2623.0,-337.0,4.0,4.0,3.0,50396.175,48761.4375,10.0,0.0,0.0,0.0,-22.0,-3.0,98454.24,98454.24,3.0,0.0
100065,Cash loans,M,N,Y,0,166500.0,180000.0,14220.0,180000.0,Unaccompanied,Working,Higher education,Single / not married,With parents,0.005144,-9516,-1387.0,-5063.0,-2055,1,1,1,1,1,0,1.0,2,2,FRIDAY,7,0,0,0,0,0,0,Self-employed,0.61303306,0.31236538,0.0,0.0,0.0,0.0,-1182.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,131605.68807692308,1710873.945,0.0,0.0,60030.39,540273.51,4.0,0.0,-716.4615384615385,-1207.0,-107.0,2.0,2.0,1.0,58590.0,41013.0,5.0,0.0,0.0,0.0,-13.6,-12.0,90726.75,90726.75,1.0,0.0
100066,Cash loans,F,N,Y,0,315000.0,364896.0,28957.5,315000.0,Unaccompanied,State servant,Higher education,Married,House / apartment,0.04622,-12744,-1013.0,-1686.0,-3171,1,1,0,1,0,0,2.0,1,1,THURSDAY,18,0,0,0,0,0,0,School,0.80878776,0.5226973,0.0,0.0,0.0,0.0,-829.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.0,316500.0,949500.0,0.0,0.0,60562.5,181687.5,1.0,0.0,-542.6666666666666,-674.0,-463.0,2.0,9.0,5.0,117006.0,130629.0,45.0,0.0,0.0,0.0,-9.488889,0.0,462151.98,462151.98,4.0,0.0
100067,Cash loans,F,Y,Y,1,162000.0,45000.0,5337.0,45000.0,Family,Working,Higher education,Civil marriage,House / apartment,0.018634,-10395,-2625.0,-8124.0,-3041,1,1,1,1,1,0,3.0,2,2,TUESDAY,14,0,0,0,0,0,0,Trade: type 2,0.44484755,0.19406782,4.0,0.0,4.0,0.0,-1423.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,190417.76470588235,3237102.0,0.0,0.0,84069.32142857143,1176970.5,5.0,0.0,-579.5294117647059,-1628.0,-57.0,2.0,23.0,7.0,182835.19565217392,189582.26086956522,161.0,0.0,0.0,0.0,-7.1242237,11.0,654381.945,654381.945,6.0,9.0
100074,Cash loans,F,N,Y,0,67500.0,675000.0,25447.5,675000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.003122,-23670,,-7490.0,-4136,1,0,0,1,1,0,2.0,3,3,TUESDAY,11,0,0,0,0,0,0,XNA,0.6600149,0.29859498,0.0,0.0,0.0,0.0,-1671.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,120324.84000000001,360974.52,0.0,0.0,0.0,0.0,0.0,0.0,-1469.3333333333333,-2071.0,-1030.0,1.0,2.0,2.0,62482.5,56234.25,20.0,0.0,0.0,0.0,-8.35,2.0,124885.08,124885.08,2.0,0.0
100090,Cash loans,F,N,Y,0,135000.0,261621.0,16848.0,216000.0,Unaccompanied,Working,Secondary / secondary special,Widow,House / apartment,0.008019,-15524,-3555.0,-7833.0,-3985,1,1,0,1,0,0,1.0,2,2,FRIDAY,17,0,0,0,0,1,1,Self-employed,0.3937147,0.4365065,0.0,0.0,0.0,0.0,-1097.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.0,56520.9,113041.8,0.0,0.0,31085.415,62170.83,2.0,0.0,-261.5,-315.0,-208.0,1.0,12.0,5.0,167188.125,223592.25,62.0,5806.451612903225,0.0,181318.05,-5.822581,0.0,1241125.56,881125.56,4.0,0.0
100091,Cash loans,F,N,Y,0,247500.0,296280.0,23539.5,225000.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.018634,-12278,-929.0,-6031.0,-4586,1,1,0,1,0,0,2.0,2,2,THURSDAY,17,0,0,0,0,0,0,Self-employed,0.47003552,0.41534716,1.0,1.0,1.0,0.0,-619.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,3.0,649948.5,1949845.5,0.0,0.0,455887.5,1367662.5,1.0,0.0,-630.3333333333334,-1409.0,-119.0,1.0,6.0,2.0,103110.0,91860.0,5.0,0.0,0.0,0.0,-12.2,-9.0,42226.29,42226.29,1.0,0.0
100092,Cash loans,F,Y,Y,0,90000.0,360000.0,18535.5,360000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.01452,-19687,-3578.0,-10673.0,-3183,1,1,0,1,0,0,2.0,2,2,TUESDAY,7,0,0,0,0,1,1,Government,0.27025536,0.37571102,5.0,0.0,5.0,0.0,-1414.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,170352.03115384618,2214576.4050000003,0.0,0.0,78109.125,937309.5,7.0,0.0,-1194.7692307692307,-2413.0,-84.0,2.0,6.0,5.0,32628.75,34184.25,57.0,-149.41263157894738,-3492.675,0.0,-15.385965,46.0,309078.36,317594.88,6.0,41.0
